acc_x,acc_y,acc_z
-0.016947,0.032356,9.816033
-0.027260,0.054115,9.821052
-0.025424,0.046634,9.818620
-0.026294,0.051233,9.819355
-0.025749,0.048736,9.818727
-0.026149,0.050249,9.818858
-0.025983,0.048199,9.819531
-0.024424,0.049875,9.819896
-0.026411,0.049823,9.818861
-0.025947,0.048308,9.818674
-0.025390,0.048637,9.819027
-0.022923,0.049987,9.818673
-0.027046,0.049103,9.819036
-0.026514,0.047658,9.819733
-0.024218,0.049462,9.820036
-0.026207,0.048108,9.819828
-0.026808,0.049304,9.819389
-0.024301,0.048639,9.819590
-0.027118,0.047196,9.818404
-0.027675,0.048367,9.820804
-0.022894,0.048363,9.820367
-0.024902,0.049300,9.818789
-0.027276,0.048213,9.819076
-0.026834,0.046706,9.819112
-0.026345,0.048443,9.818929
-0.023676,0.049328,9.819044
-0.026352,0.047929,9.818013
-0.026599,0.048765,9.819635
-0.024427,0.047330,9.819044
-0.026983,0.047596,9.818421
-0.024968,0.048232,9.819648
-0.024466,0.047431,9.819046
-0.026063,0.047948,9.818632
-0.024185,0.047623,9.819175
-0.025827,0.046594,9.818078
-0.026341,0.048700,9.818132
-0.023636,0.047005,9.820579
-0.026142,0.046913,9.818190
-0.023534,0.046649,9.818662
-0.024917,0.047273,9.819449
-0.026360,0.047793,9.819003
-0.023730,0.046416,9.820094
-0.024249,0.047274,9.819091
-0.025910,0.048164,9.818808
-0.024332,0.046400,9.819371
-0.025066,0.046709,9.818990
-0.023597,0.047167,9.819356
-0.025206,0.047133,9.820763
-0.025889,0.045940,9.818926
-0.023294,0.047372,9.819544
-0.023983,0.046321,9.819316
-0.026305,0.047002,9.819209
-0.024449,0.046688,9.821094
-0.024739,0.045380,9.818189
-0.025657,0.047019,9.819466
-0.024642,0.046352,9.820483
-0.024831,0.046607,9.818927
-0.026289,0.044817,9.819596
-0.024486,0.045959,9.819711
-0.025597,0.046950,9.819354
-0.022351,0.045644,9.819394
-0.026600,0.046249,9.819461
-0.025295,0.045207,9.819201
-0.024238,0.045711,9.819894
-0.024849,0.045943,9.819546
-0.024649,0.046302,9.819734
-0.025612,0.046605,9.818648
-0.025443,0.045188,9.819894
-0.024854,0.046685,9.821329
-0.023975,0.046710,9.820231
-0.024095,0.045786,9.819390
-0.025226,0.044297,9.818905
-0.025782,0.045637,9.819941
-0.024652,0.044608,9.820567
-0.023544,0.045677,9.818534
-0.024914,0.045839,9.819548
-0.024776,0.044626,9.819710
-0.023845,0.045194,9.818996
-0.025326,0.044695,9.820222
-0.022831,0.044317,9.819673
-0.024968,0.046179,9.819648
-0.024428,0.044922,9.819983
-0.025423,0.043498,9.819770
-0.024665,0.046022,9.819819
-0.022120,0.043857,9.820857
-0.026201,0.044435,9.818817
-0.024998,0.044956,9.820318
-0.024044,0.043885,9.820397
-0.024136,0.044178,9.817927
-0.024029,0.044805,9.820261
-0.024095,0.043894,9.820163
-0.024886,0.045572,9.818379
-0.024270,0.043501,9.819537
-0.024611,0.044497,9.821490
-0.024285,0.043330,9.820005
-0.024522,0.043856,9.818912
-0.024945,0.043626,9.818778
-0.023456,0.044207,9.818752
-0.025446,0.044752,9.820992
-0.024182,0.042557,9.819422
-0.023090,0.044804,9.818406
-0.025241,0.043348,9.818768
-0.024965,0.043752,9.819206
-0.024071,0.043498,9.820199
-0.023689,0.042141,9.819499
-0.024044,0.044386,9.820067
-0.025008,0.043502,9.819751
-0.024857,0.042084,9.819603
-0.023593,0.044613,9.819718
-0.022605,0.043539,9.820058
-0.024299,0.042722,9.817860
-0.024810,0.043338,9.819386
-0.025144,0.044027,9.820320
-0.023868,0.042639,9.819434
-0.024116,0.042640,9.820393
-0.023866,0.043547,9.820436
-0.023840,0.041734,9.819426
-0.024392,0.042898,9.819537
-0.024545,0.042291,9.818912
-0.024387,0.042506,9.819737
-0.024434,0.042422,9.819412
-0.024520,0.041913,9.818748
-0.024058,0.042303,9.820459
