Code,Longitude,Latitude,Province,District,PGA_NS,PGA_EW,PGA_UD,Rjb,Rrup,Repi,Rhyp
"4615",37.13803,37.38676,"Kahramanmaraş","Pazarcık",584.653363523,556.647643282,656.682243829,0,8.018127087034735,13.82680252,16.2831344626
"NAR",37.1574,37.3919,"Kahramanmaraş","Pazarcık",784.568922938,619.707443755,477.943532964,0,7.465564797501557,15.3544845015,17.5988691201
"4616",36.83836,37.37547,"Kahramanmaraş","Türkoğlu",610.344655541,428.563535681,387.499419427,14.028351493181344,22.42166906953963,20.541827221,22.269410984
"4630",36.806037,37.344912,"Kahramanmaraş","Türkoğlu",178.562219541,124.036736879,178.140141594,13.053166599138773,21.48426118443884,21.8901026855,23.5188561708
"4629",36.788705,37.287373,"Kahramanmaraş","Türkoğlu",338.934726298,248.195363933,124.364157511,8.890854890870532,17.483190372724987,22.4968410842,24.0845979573
"4632",36.773694,37.256028,"Kahramanmaraş","Türkoğlu",359.457132222,299.248668726,200.231207249,6.9225507290555415,15.59113497601626,24.0934051974,25.5822628789
"4625",36.98187,37.53872,"Kahramanmaraş","Dulkadiroğlu",447.001701556,466.332559116,344.069444015,20.82783826925914,28.957755259422346,28.39675255,29.6704491942
"4624",36.91765,37.5361,"Kahramanmaraş","Onikişubat",357.251980161,310.894595199,157.479235688,24.016101140070642,32.022510233715785,29.7259890728,30.9450226427
"2712",36.73283,37.184,"Gaziantep","Nurdağı",555.587922279,592.354434549,313.752541102,2.7446769981369736,11.575104988017326,29.7944635343,31.0108054926
"4614",37.29775,37.48513,"Kahramanmaraş","Pazarcık",2165.6154946478187,2178.72001161,1951.6834895647398,0,8.254134292396063,31.417493517,32.5732850491
"4626",36.91505,37.57532,"Kahramanmaraş","Onikişubat",108.80811587,223.093142707,112.269409133,27.62765150577956,35.494155263223796,33.8872385768,34.9614779202
"4621",36.92909,37.59347,"Kahramanmaraş","Dulkadiroğlu",363.801555107,295.559227268,253.918738146,28.487387362434585,36.320586410850986,35.4242190613,36.4531932223
"4620",36.89845,37.58568,"Kahramanmaraş","Onikişubat",300.404684705,320.93044363,185.344825694,29.429125086410057,37.22584281252874,35.4756891781,36.5032124979
"4619",36.86616,37.58702,"Kahramanmaraş","Onikişubat",302.034290477,194.73550451,175.505342444,31.26800015822367,38.993482982679,36.7328706534,37.7261684569
"2703",37.35,37.058,"Gaziantep","Şahinbey",156.634209765,165.064225525,80.1045820897,32.13534996737428,32.13534996737428,37.3356257844,38.3132999455
"2709",36.670482,37.128525,"Gaziantep","İslahiye",154.030840506,127.006857933,106.661087111,1.190099326255668,10.080749018676858,37.454128684,38.4287881084
"4618",36.87231,37.60011,"Kahramanmaraş","Onikişubat",125.664366548,159.422156312,134.415769333,32.099060397611076,39.79234935781944,37.8353524297,38.8004367692
"4617",36.8303,37.58551,"Kahramanmaraş","Onikişubat",145.325703657,115.156187165,110.590100022,33.04570375793215,40.702321359810426,38.0402919259,39.0003052528
"8002",36.56195,37.19156,"Osmaniye","Bahçe",242.951444137,202.89328061,336.563482569,12.594439614519422,21.04330450523097,43.9135901408,44.7477753532
"2711",37.56036,37.31736,"Gaziantep","Yavuzeli",142.643894324,119.610181329,86.3945747887,20.24733832670592,20.24733832670592,45.8764648435,46.6755827659
"2718",36.6266,37.00777,"Gaziantep","İslahiye",654.430822575,630.312044446,592.276817214,0,2.095245960405948,48.3011466808,49.0607864866
"4611",37.28426,37.7472,"Kahramanmaraş","Çağlayancerit",349.720618936,321.114294744,173.386444968,23.280663800974427,31.315562489879788,55.3168173194,55.9813386616
"2707",36.573771,36.930889,"Gaziantep","İslahiye",98.6492681447,89.2789267153,45.6263093075,1.7618273420769264,1.7618273420769264,57.5163237812,58.1557177009
"7901",37.1123,36.7088,"Kilis","Kilis Merkez",53.1144509404,16.5516844808,50.1386390565,50.41318077644311,50.41318077644311,64.6974679221,65.2665485186
"3143",36.557138,36.848907,"Hatay","Hassa",381.093588631,351.380924102,412.105838814,8.102492272033807,8.102492272033807,65.1315509307,65.6968715134
"4613",36.35737,37.5701,"Kahramanmaraş","Andırın",146.933771915,153.520106741,75.0287255764,56.98393620680338,63.71322728137807,68.1850447215,68.7252524453
"3138",36.51119,36.80262,"Hatay","Hassa",888.72990847,746.664460226,1296.27315458,9.703938417181876,9.703938417181876,71.6982600582,72.212190767
"8003",36.26936,37.08417,"Osmaniye","Osmaniye Merkez",141.566859387,185.737902775,139.894026298,18.906015572615928,27.11038071475434,72.1842382591,72.694733324
"2704",37.80215,37.00879,"Gaziantep","Nizip",102.235025097,160.639637295,66.3014150549,60.544179755804706,60.544179755804706,74.1011283819,74.5985068716
"3144",36.485742,36.75691,"Hatay","Hassa",611.26948942,763.362541197,451.610963442,12.360337831159802,12.360337831159802,77.0381973484,77.5167327142
"0208",37.65275,37.78694,"Adıyaman","Gölbaşı",30.1994880731,14.0012383123,16.9665247081,7.397721165898016,16.044878315116193,77.2554841315,77.7326818552
"3137",36.48852,36.69293,"Hatay","Hassa",428.372998144,670.165427928,448.368032947,18.435555310964663,18.435555310964663,82.4829761379,82.9300991954
"4631",37.427653,37.966325,"Kahramanmaraş","Nurhak",22.2065180009,19.3355161593,32.9474254959,35.19389163933936,42.76729208588606,82.6837588489,83.1298019809
"8004",36.097633,37.379888,"Osmaniye","Kadirli",168.426113647,181.859424756,71.7979570481,54.21778553524616,61.054232595616064,84.2042580983,84.6422889688
"3134",36.20485,36.82763,"Hatay","Dörtyol",246.10681022,203.909434038,141.510259258,14.237902067576039,16.71437802012914,90.2882412851,90.6968936312
"3145",36.4064,36.64536,"Hatay","Kırıkhan",591.880127031,692.289904674,609.728546509,21.683210390539845,21.683210390539845,91.1314511928,91.5363392129
"4612",36.48187,38.02395,"Kahramanmaraş","Göksun",140.970019703,122.22196667,54.3077708955,90.35812825753355,95.79455973263411,95.5866357198,95.9727301281
"3139",36.41439,36.58383,"Hatay","Kırıkhan",577.130655352,504.820847093,378.615022932,28.541520826756834,28.541520826756834,96.1887542714,96.5724414535
"0213",37.92957,37.79667,"Adıyaman","Tut",242.279140801,171.694617353,291.290940577,20.530589797794367,20.73716748441042,96.4830703711,96.8655917663
"3116",36.20661,36.61618,"Hatay","İskenderun",164.276940199,168.862914547,165.838250676,29.97868967187735,29.97868967187735,105.375749725,105.726101933
"3142",36.36612,36.49797,"Hatay","Kırıkhan",651.689240004,739.293702879,456.896331854,38.08866424289321,38.088664242893216,106.491016598,106.837711582
"4628",36.922805,38.241198,"Kahramanmaraş","Afşin",91.0956253243,82.5490941054,55.7410769195,86.18818994953509,91.78615776272935,106.516051394,106.862665158
"0122",35.82021,37.4339,"Adana","Kozan",57.3430395823,52.3313767133,33.2080779253,73.96879880748433,80.04011111916222,109.281351975,109.619222263
"3112",36.14766,36.58801,"Hatay","İskenderun",171.859419598,83.6369726196,83.9646599415,35.60869361657061,35.60869361657061,111.311372448,111.643099367
"3115",36.16459,36.54634,"Hatay","Belen",286.722563935,241.499986143,214.805206238,38.52921738490504,38.52921738490503,113.574220636,113.899357298
"3146",36.226952,36.490758,"Hatay","Belen",483.845577905,346.931460165,341.393547261,41.57225044944497,41.57225044944497,114.566087384,114.888417077
"0125",35.79577,37.01519,"Adana","Ceyhan",128.550996604,83.1226461701,35.1493670256,49.09371622867869,55.131584956872885,114.623919548,114.946087069
"0127",35.92044,37.816183,"Adana","Feke",54.9874070473,50.811843475,39.2422321047,102.12355977661467,107.10421838811219,115.074131286,115.395041883
"4408",37.88732,38.09616,"Malatya","Doğanşehir",100.089080208,137.181134089,96.7520638945,43.657788524844975,48.33692593120534,116.594629376,116.911366425
"0201",38.26742,37.76121,"Adıyaman","Adıyaman Merkez",474.120636898,879.949547996,318.965074333,45.76055319644893,48.0610640978752,120.115798474,120.423274507
"0130",35.67104,37.25186,"Adana","İmamoğlu",81.0973068934,68.2310064811,35.3525050443,70.00654473251782,76.05584735124623,121.467375069,121.771438384
"0210",38.2866,37.7672,"Adıyaman","Adıyaman Merkez",65.9098478307,61.3746047344,42.1325810899,47.559263021497614,51.76199564612937,121.924143298,122.22707032
"3133",36.5736,36.2432,"Hatay","Reyhanlı",221.405304204,147.222725269,87.5953499156,68.21040946730491,68.21040946730491,123.471258337,123.770398866
"0120",35.79005,36.77006,"Adana","Yumurtalık",112.461803083,115.980569488,103.683557257,50.53010232275487,53.92993799412985,125.249393591,125.544297342
"3141",36.21973,36.3726,"Hatay","Antakya",961.11646989,868.819180828,722.659658847,54.20244326914344,54.20244326914344,125.416556164,125.711067771
"6304",38.51316,37.36509,"Şanlıurfa","Bozova",210.897178399,238.228196702,89.2295115631,74.19464414700396,55.38302066685015,130.274572643,130.558126049
"0129",36.210863,38.259195,"Adana","Tufanbeyli",49.9185427933,42.1567021567,30.4129842836,125.53371174359376,129.6530283255061,130.426756339,130.709979608
"0214",38.22594,38.028298,"Adıyaman","Çelikhan",61.6755317149,54.3810865856,69.9139409377,56.761235519211105,57.31718311009817,132.738252331,133.016553977
"3124",36.1722,36.2387,"Hatay","Antakya",572.632309206,638.321426549,578.07954974,69.6610665487587,69.6610665487587,140.107859224,140.371550595
"3802",36.50359,38.47812,"Kayseri","Sarız",99.0665553529,84.6266985573,55.3378018437,129.29137012198188,133.2946111358974,140.547019202,140.809888171
"3125",36.13264,36.23808,"Hatay","Antakya",822.616041693,1121.94796418,1151.55576625,70.81592932810942,70.81592932810942,142.145855634,142.405773316
"3135",35.8831,36.40886,"Hatay","Arsuz",740.970699065,1372.0713952,588.966366776,66.17859810475301,66.17859810475301,142.153508191,142.413411907
"3123",36.15973,36.21423,"Hatay","Antakya",655.57128375,593.940398596,867.575516483,72.58341207192196,72.58341207192196,142.996727925,143.255101819
"4406",37.97378,38.34388,"Malatya","Akçadağ",108.737853821,131.343887799,49.9977950399,72.05498672915648,76.42486609341891,143.070489852,143.328730778
"3132",36.17159,36.20673,"Hatay","Antakya",515.309404675,514.634241052,354.184491747,73.08472566888089,73.08472566888089,143.119933334,143.378085207
"3126",36.1375,36.2202,"Hatay","Antakya",1178.11562043,999.383066961,921.567849222,72.55381229966954,72.55381229966954,143.544745124,143.802134381
"3131",36.16328,36.19121,"Hatay","Antakya",363.032948044,366.05050304,153.959853784,74.94538129074122,74.94538129074122,144.975896473,145.230749355
"3129",36.1343,36.19117,"Hatay","Defne",1351.50017863,1198.74346893,716.938498472,75.70543280379106,75.70543280379106,146.391884356,146.644276415
"4409",37.49076,38.56063,"Malatya","Darende",38.0088613903,28.4910157933,27.9571868826,93.80228792634561,98.93994289275858,146.858366385,147.109958117
"3136",36.24722,36.11593,"Hatay","Altınözü",534.224454312,401.969249625,220.461342296,81.46579331078385,81.46579331078385,148.384966159,148.633973848
"0123",35.34376,37.00338,"Adana","Yüreğir",41.4203794159,39.6531797516,18.6496492806,88.51294086387088,93.21641194805737,153.896941287,154.137044663
"6305",38.786937,37.16045,"Şanlıurfa","Haliliye",126.659078958,104.089692721,59.9212718896,106.53476746671802,74.20514745974334,155.058800339,155.297107386
"0118",35.31843,37.03616,"Adana","Çukurova",50.0995123685,38.2376723412,23.4094350038,91.23386633601105,95.96807914550813,155.364114164,155.601953619
"5807",37.2475,38.7269,"Sivas","Gürün",31.4744492246,34.766248797,27.5169323526,117.34063150413427,121.73726981189074,160.998304503,161.227832749
"3140",35.94982,36.08155,"Hatay","Samandağ",194.686660846,218.709275582,176.665790451,93.14019098465552,93.14019098465552,165.824708564,166.047565385
"0119",35.39,36.568,"Adana","Karataş",43.4626369103,47.3103511105,25.2775684839,92.02564383370468,94.2569984232897,167.324361729,167.545223829
"3804",36.377902,38.72268,"Kayseri","Pınarbaşı",12.7739445803,17.6836649568,14.6928966301,157.51453000998566,160.81673462086422,169.837657701,170.055255647
"3805",35.357183,38.1057,"Kayseri","Yahyalı",22.554425023,23.3737832714,16.0013056281,157.87055837141423,161.16546829377845,173.970479446,174.182914543
"4412",38.18385,38.59685,"Malatya","Yazıhan",63.5786344821,68.8971910997,55.5721037827,104.95541129935313,108.5534131836817,176.602338105,176.811611113
"3147",36.064358,35.902362,"Hatay","Yayladağı",56.4485419156,47.5117163856,29.1179334528,108.21198316409308,108.21198316409307,177.120057902,177.328719928
"6306",38.947,36.727695,"Şanlıurfa","Akçakale",65.8973754317,55.9894152535,29.889066803,147.86255075552089,23.41518203682242,180.175860058,180.380987212
"4410",37.679,38.86677,"Malatya","Kuluncak",33.704228699,45.4961634549,20.70470878,125.98876522515884,130.05933224895884,184.164937482,184.3656264
"3803",35.479116,38.39485,"Kayseri","Develi",23.6317177975,24.5090247617,14.1782521157,176.59768804149485,179.54926452495405,184.403168936,184.603598864
"4405",37.9396,38.8107,"Malatya","Hekimhan",91.1182858923,126.496678464,77.4127648063,121.5714630239333,125.56083943121585,186.630057778,186.828098706
"4404",38.87385,38.19588,"Malatya","Pütürge",136.243708664,137.416246046,96.9424963649,114.09018601671617,117.71433979716537,190.015091467,190.209608026
"4414",38.754133,38.406947,"Malatya","Kale",106.617946427,163.844022469,50.8937386591,119.0358685280362,119.76880049932866,195.068514153,195.257996542
"4407",38.26406,38.78066,"Malatya","Arguvan",43.3613582191,33.0842235053,19.2745653697,126.44908795599949,129.84723238969173,197.44068455,197.627892554
"3801",35.49986,38.68963,"Kayseri","Melikgazi",21.7529592127,23.8336904164,13.7537169993,201.29023347283174,203.88465626769934,206.339485577,206.518627024
"4413",39.039342,38.313533,"Malatya","Doğanyol",13.1525317762,10.1889229374,17.555528595,133.26948920679095,166.25329880239624,209.20131132,209.378004237
"2310",38.824528,38.57266,"Elazığ","Baskil",60.4561560903,51.1965595162,49.1696954799,135.7324184156501,137.01423079834188,211.698122053,211.872732745
"2309",38.72728,38.79913,"Elazığ","Keban",38.2613850394,35.3388847161,25.8165996342,148.71124873895056,150.94930415876058,223.571622624,223.73696709
